step,reward,policy_gradient_loss,value_loss,entropy,std,inventory,pnl,spread_penalty
137,-0.045079537,0,0,0,0,2547.9281375957594,2051.909948299406,1.4365827354269578
138,-0.044877253,0,0,0,0,2447.9281375957594,2128.267357554869,0.052764391611117865
139,-0.044679083,0,0,0,0,2547.9281375957594,2233.228106201743,1.8257395171063953
140,-0.04448492,0,0,0,0,2447.9281375957594,2581.527141763945,0.30748608144200423
141,-0.044294655,0,0,0,0,2447.9281375957594,1969.806574298651,1.2168344468190535
142,-0.04410819,0,0,0,0,2547.9281375957594,1807.9481539338594,1.7011309613082877
143,-0.043925423,0,0,0,0,2647.9281375957594,2732.41624858859,0.6827293567673091
144,-0.043746255,0,0,0,0,2647.9281375957594,2851.568166279234,1.3588314018369232
145,-0.043570604,0,0,0,0,2747.9281375957594,3006.4784654302057,0
146,-0.043398373,0,0,0,0,2647.9281375957594,3187.811570397811,0.6634081826876689
147,-0.04322948,0,0,0,0,2647.9281375957594,3002.477610938018,1.2594921805886243
148,-0.043063845,0,0,0,0,2647.9281375957594,3320.2160581129137,1.4209334807752876
149,-0.04290138,0,0,0,0,2747.9281375957594,3017.942285775207,0.9675099605225266
150,-0.042742018,0,0,0,0,2747.9281375957594,2921.7547377459705,0.992774226207808
151,-0.042585675,0,0,0,0,2847.9281375957594,3385.3971233195625,1.6704996346549237
152,-0.04243228,0,0,0,0,2947.9281375957594,3207.028693189146,0.4611113543984981
153,-0.042281765,0,0,0,0,3047.9281375957594,3410.9058644429315,1.145398590666479
154,-0.04213406,0,0,0,0,3047.9281375957594,3502.3399879554054,1.0742225005670551
155,-0.041989103,0,0,0,0,3047.9281375957594,3913.793543761596,1.412691638305827
156,-0.041846827,0,0,0,0,3147.9281375957594,4057.1996183907613,0.6094868490507523
157,-0.04170717,0,0,0,0,3147.9281375957594,3679.4636126221158,0.6019634162553361
158,-0.04157007,0,0,0,0,3247.9281375957594,3537.0187338261167,1.619362221469295
159,-0.04143547,0,0,0,0,3147.9281375957594,3189.4999118840788,0.8852874891185353
160,-0.041303318,0,0,0,0,3047.9281375957594,3072.8454697590787,0
161,-0.041173555,0,0,0,0,3147.9281375957594,3295.396207792219,1.1066242368080044
162,-0.041046128,0,0,0,0,3247.9281375957594,2532.630075481604,0.07780605486474393
163,-0.040920988,0,0,0,0,3347.9281375957594,1798.0806997513864,1.2566841329071117
164,-0.04079808,0,0,0,0,3347.9281375957594,1597.2131851483136,1.2915071436743417
165,-0.040677357,0,0,0,0,3247.9281375957594,1137.761582467123,0.09000507372710036
166,-0.040558778,0,0,0,0,3347.9281375957594,1145.017448390252,1.2090185466850112
167,-0.04044229,0,0,0,0,3447.9281375957594,1114.922083738842,0.7502981727124588
168,-0.04032785,0,0,0,0,3547.9281375957594,105.08943656238262,0.14182832026193024
169,-0.040215418,0,0,0,0,3547.9281375957594,-601.2912754027639,0.5315036007755696
170,-0.040104944,0,0,0,0,3447.9281375957594,-1068.7332232242916,0.03872008563557752
171,-0.039996397,0,0,0,0,3547.9281375957594,-374.4016416722443,1.679684485373904
172,-0.03988973,0,0,0,0,3647.9281375957594,-1378.0601026059594,1.611728774556728
173,-0.03978491,0,0,0,0,3547.9281375957594,-1598.9074756073533,0.2843170270474268
174,-0.039681893,0,0,0,0,3447.9281375957594,-1551.507017461583,0.666428477055082
175,-0.039580647,0,0,0,0,3547.9281375957594,-1783.8937504319474,0.8219618553297114
176,-0.039481133,0,0,0,0,3647.9281375957594,-2259.141671152087,1.2519253075735393
177,-0.03938332,0,0,0,0,3647.9281375957594,-2094.991584516247,1.1240785793655528
178,-0.039287172,0,0,0,0,3639.4104345213445,-1547.7475954360561,0.9275838737085416
179,-0.039192654,0,0,0,0,3539.4104345213445,-1289.8038349734852,0.04715417021401111
180,-0.039099738,0,0,0,0,3639.4104345213445,-985.2697965395637,0.7067306674811026
181,-0.03900839,0,0,0,0,3539.4104345213445,-63.002426028600894,0.1156782497483655
182,-0.038918585,0,0,0,0,3539.4104345213445,-456.2282465508906,0.42326204698021647
183,-0.038830284,0,0,0,0,3535.6045665781826,-552.1785711668199,0.9683662487539448
184,-0.038743466,0,0,0,0,3635.6045665781826,-707.8643150001299,1.3861925313409311
185,-0.038658097,0,0,0,0,3639.498979291953,-926.0479891446885,0.4294611668179986
186,-0.03857416,0,0,0,0,3739.498979291953,-1008.9731472539715,0.02148180549372456
187,-0.038491614,0,0,0,0,3839.498979291953,-990.7563554875087,0.9472187601073904
188,-0.038410444,0,0,0,0,3739.498979291953,-872.9177452654112,0
189,-0.038330615,0,0,0,0,3839.498979291953,-269.5429955739528,0.9622339881276577
190,-0.038252115,0,0,0,0,3836.6680623982816,-549.1681012602057,1.0246404412596237
191,-0.0381749,0,0,0,0,3836.6680623982816,-530.3758275781292,0.8822955491369061
192,-0.038098972,0,0,0,0,3736.6680623982816,-286.982792516239,0.4262708721257269
193,-0.038024288,0,0,0,0,3736.6680623982816,-1258.4959626090713,1.5094587855042652
194,-0.037950832,0,0,0,0,3836.6680623982816,-1347.2360723167658,0
